[1]陈丹丹,徐帆洪,高丹. 表达NY-ESO-1重组耻垢分枝杆菌的制备及应用[P]. 上海：CN102839186A,2012-12-26.
[316]E.巴克,M.布罗洛,A.克劳斯,Y.埃尔阿迈德,B.菲洛克-洛米,F.哈利,K.A.卡尔森,G.马西尼亚克,B.罗南,L.希奥,B.维维特,F.维维安尼,A.齐默尔曼. 新型1,2,3,4-四氢嘧啶并{1,2-a}嘧啶-6-酮衍生物、其制备以及其医药用途[P]. 法国：CN102482286A,2012-05-30.

[317]P·菲雷,C·麦卡蒂,J·舍普费尔,S·斯图兹. 作为C-Met酪氨酸激酶调节剂的3-杂芳基甲基-咪唑并[1,2-B]哒嗪-6-基衍生物[P]. 瑞士：CN102482287A,2012-05-30.

[318]H·G·周,T·申,N·格雷,W·周,J·W·常,J·张,E·卫斯伯格. 融合的杂环化合物及其用途[P]. 美国：CN102480966A,2012-05-30.

[319]I·诺格拉特罗伊赛,G·瑟斯顿,A·蒂博. 用DLL4拮抗剂和化疗剂治疗癌症的方法[P]. 美国：CN102481365A,2012-05-30.

[320]B·布拉姆利奇,U·布林克曼,R·克罗斯代尔,S·迪尔,W·多迈尔,G·乔治斯,M·格罗特,A·哈斯,E·霍夫曼,L·M·艾肯斯坦,K·雅恩-霍夫曼,M·约翰,S·麦茨,O·穆恩迪格尔,W·舒尔,J·O·施特拉克. 结合地高辛配基的双特异性抗体[P]. 瑞士：CN102481367A,2012-05-30.

[321]鲍永利,李玉新,郑丽华,乌垠. 薯蓣皂苷元及其衍生物在制备肿瘤化疗增敏药物中的应用[P]. 吉林：CN102475710A,2012-05-30.

[322]栗原祥,冈野文义. 免疫诱导剂[P]. 日本：CN102481333A,2012-05-30.

[323]N·E·斯坦格莉安奥,J·W·威斯特,K·卡姆斯,P·H·贝塞特,J·萨格特. 蛋白原及其使用方法[P]. 美国：CN102481341A,2012-05-30.

[324]M·卡尔代里尼,M·乌舍尔-普利特凯尔,U·格拉德勒,C·埃斯达尔. 用于治疗肿瘤和炎性疾病的氨基吡啶衍生物[P]. 德国：CN102471317A,2012-05-23.

[325]A·E·苏顿,N·布鲁格,T·E·理查德森,H·G·范迪维尔,B·R·胡克,R·蓝,J·波特尼克. 新的氮杂杂环化合物[P]. 德国：CN102471338A,2012-05-23.

[326]K.埃尔金斯,A.波尔森,A.埃本斯,C.亚当斯,郑冰,J.R.朱纳塔拉,J-a.杭戈,吴雁. 抗FcRH5抗体和免疫偶联物及使用方法[P]. 瑞士：CN102471380A,2012-05-23.

[327]曹丽,斯建勇. 玉郎伞总黄酮及其单体成分在制备抗肿瘤药物中的作用[P]. 北京：CN102462727A,2012-05-23.

[328]庄伟哲,符文美. 选择性作用于αvβ3整合素并缀合人血清白蛋白(HSA)变体的多肽及其药学用途[P]. 台湾：CN102470156A,2012-05-23.

[329]U·布林克曼,R·克罗斯代尔,W·劳,G·乔治斯,A·哈斯,E·霍夫曼,S·麦茨,O·穆恩迪格尔,W·舒尔,J·O·施特拉克. 双特异性抗体和与治疗或诊断剂缀合的地高辛配基的复合物[P]. 瑞士：CN102470171A,2012-05-23.

[330]M.德雷林,D.A.海因里希,F.赫廷,C.克莱恩. 无岩藻糖基化CD20抗体与氟达拉滨和/或米托蒽醌的联合疗法[P]. 瑞士：CN102470172A,2012-05-23.

[331]孟颂东,李星辉,刘振,闫晓丽,王赛锋,李扬,邱立鹏,陈立钊,胡坤. 一种促进gp96蛋白的免疫活性的方法及其应用[P]. 北京：CN102462841A,2012-05-23.

[332]曹雪涛,李冬,李楠. 一种miRNA在肿瘤诊断和预后判断中的应用[P]. 上海：CN102453759A,2012-05-16.

[333]S·塞尔,F·莫里希,C·马什,S·克卢斯曼,N·丁斯,K·布赫纳,F·施沃布尔. 结合海帕西啶的核酸[P]. 德国：CN102459587A,2012-05-16.

[334]S·C·古达克,Y·赖,梁军,S·R·马格努森,K·D·罗巴格,M·S·斯坦利,V·H-W·楚伊,K·威廉姆斯,B·张,A·周. Janus激酶抑制化合物和方法[P]. 瑞士：CN102459187A,2012-05-16.

[335]G.T.王,R.A.曼泰,S.A.埃里克森,S.D.费丹泽,G.S.谢泼德,王结义,R.L.贝尔. 激酶活性的嘧啶抑制剂[P]. 美国：CN102459236A,2012-05-16.

[336]B·阿奎拉,E·亨尼西,A·希尔德,V·奥扎,J·C·谢,L·沙. 2,3-二氢-1H-茚化合物及其治疗癌症的用途[P]. 瑞典：CN102459238A,2012-05-16.

[337]P.I.阿维德森,J.N.布罗斯,U.英格维,E.杰内尔德. 用于治疗糖原合酶激酶3相关疾病诸如阿尔茨海默病的咪唑取代的嘧啶[P]. 瑞典：CN102459252A,2012-05-16.

[338]R.F.克拉克,R.L.贝尔,N.Y.巴-蒙,S.A.埃里克森,S.D.费丹泽,R.A.曼泰,G.S.谢泼德,B.K.索伦森,G.T.王,王结义. 激酶活性的嘧啶抑制剂[P]. 美国：CN102459264A,2012-05-16.

[339]R.F.克拉克,N.Y.巴-蒙,S.A.埃里克森,S.D.费丹泽,R.A.曼泰,G.S.谢泼德,B.K.索伦森,G.T.王,王结义,R.L.贝尔. 激酶活性的嘧啶抑制剂[P]. 美国：CN102459265A,2012-05-16.

[340]科斯坦提努斯(科斯塔斯)·科斯马托普洛斯,让娜·梅内-雅梅. 用于免疫治疗的HLA-B<sup>*</sup>0702共有表位的鉴定、优化与应用[P]. 法国：CN102459322A,2012-05-16.

[341]陈宝瑛,S·弗雷,A·G·格兰德,T·C·考克斯. 粒性白血细胞-巨噬细胞菌落-刺激因子(GM-CSF)中和抗体[P]. 美国：CN102459340A,2012-05-16.

[342]V·德留,N·德赛,D·瑙尔. 两种抗SPARC抗体用于预测对化学疗法的反应的用途[P]. 美国：CN102460168A,2012-05-16.

[343]N·P·德赛,C·陶,T·德,S·X·西,V·德留. 纳米颗粒制剂及其用途[P]. 美国：CN102458112A,2012-05-16.

[344]M.哈达克,J.A.特兰. 作为激酶抑制剂的吡唑并嘧啶和相关杂环[P]. 美国：CN102458412A,2012-05-16.

[345]T.哈于尔,S.E.布罗菲,S.G.德瓦雷,F.C.格雷尼耶,J.A.穆尔,Q.阮,S.Y.特廷,J.M.施泰因豪斯,J.刘,S.阿利,H.N.赛德. 双重可变结构域免疫球蛋白及其用途[P]. 美国：CN102458459A,2012-05-16.

[346]S.萨思亚纳拉亚南,S.凯西巴特拉,C.温特,M.查斯坦. 使用抗-EGFR剂和IGF-1R特异性的抑制剂的组合治疗[P]. 美国：CN102458466A,2012-05-16.

[347]G.法伊夫,E.赫德里克,R.D.马斯,N.沃尔马克. 辅助癌症疗法[P]. 美国：CN102458467A,2012-05-16.

[348]A.卡纳特,K.贝尔赫斯特,I.海斯勒,C.C.科皮茨,J.舒马歇. 抗-间皮素免疫缀合物及其应用[P]. 德国：CN102458477A,2012-05-16.

[349]N·陈纳姆塞蒂,B·海尔克,V·卡瑟尔,B·垂奥特,V·沃诺夫. 识别IgG结合位点的方法[P]. 瑞士：CN102458479A,2012-05-16.

[350]D·T·赵,P·G·斯基罗,J·S·郭. 整体决策液份分级[P]. 美国：CN102460154A,2012-05-16.

[351]李荣秀. 差异多肽检测方法及其应用[P]. 上海：CN102460176A,2012-05-16.

[352]马川. 花青素提取物抑制PKC-α和NF-κB活化中应用[P]. 北京：CN102451216A,2012-05-16.

[353]曹雪涛,侯晋,李楠. miRNA的抗肿瘤作用、实施方法及用途[P]. 上海：CN102451473A,2012-05-16.

[354]查德·A·米尔金,艾米·S·保勒,大卫·A·吉拉约翰. 寡核苷酸功能化的纳米颗粒的递送[P]. 美国：CN102449170A,2012-05-09.

[355]何成,楼觉人. RANKL-HBsAg表达构建物、酵母、制法及应用[P]. 上海：CN102443594A,2012-05-09.

[356]J-M·韦尼耶,H·W·金,M·希契科克,颜顺启. 作为MEK抑制剂的二氢吡啶磺酰胺和二氢吡啶硫酰胺[P]. 美国：CN102448938A,2012-05-09.

[357]J·F·班彻罗,G·祖拉夫斯基,S·祖拉夫斯基,吴相坤. 抗-CD40抗体及其用途[P]. 美国：CN102448989A,2012-05-09.

[358]黄振华. 并环激酶抑制剂[P]. 山东：CN102443009A,2012-05-09.

[359]何冰芳,吴薛明,储建林,吴斌,张森,欧阳平凯. 果糖基化葛根素及其制备方法与用途[P]. 江苏：CN102443027A,2012-05-09.

[360]R.E.沃尔特斯,D.C.沃尔特斯,A.D.金,A.马尔泰斯,B.瓦伦,K.哈勒,A.布雷夫. 用于向哺乳动物皮肤输送多核苷酸癌症疫苗的方法和装置[P]. 法国：CN102448541A,2012-05-09.

[361]冯世秀,陈涛. 双酮类化合物FLBG-1108或者其药用盐在制备抗癌药物中的应用[P]. 广东：CN102440985A,2012-05-09.

[362]M·A·皮卡德,U·贝特,M·多曹尔,E·C-J·穆瓦亚尔. 在癌症治疗中的西仑吉肽的持续给药[P]. 德国：CN102448497A,2012-05-09.

[363]P.塞博,A.奥西科瓦,J.马辛,C.法约尔,J.克鲁塞克,M.巴斯勒,C.莱克勒克,R.奥西卡. 适合将免疫原性分子递送到细胞中的突变CyaA多肽及多肽衍生物[P]. 法国：CN102439146A,2012-05-02.

[364]周际,李劲,斯文·斯库格,艾伦·何. 一种多表位TK1抗体的制备及其在肿瘤患者早期复发风险及预后评估中的应用[P]. 广东：CN102432683A,2012-05-02.

[365]G·M·E·帕佩奥,J·A·伯特兰,G·切尔维,B·福特,R·卢皮,A·蒙塔尼奥利,A·斯科拉罗,F·祖考图,P·奥希尼,H·波斯特里. 作为PARP-1 抑制剂的异喹啉-1(2H)-酮衍生物[P]. 意大利：CN102438986A,2012-05-02.

[366]P·J·赫根罗特,Q·P·彼得森,D·C·许,D·C·韦斯特,T·M·范,C·J·诺沃特尼. 作为个性化抗癌药的胱天蛋白酶原活化化合物的设计、合成和评价[P]. 美国：CN102438998A,2012-05-02.

[367]L.伯廷,J-C.卡里,P.梅利特,H.米诺克斯,F.皮罗格,J-M.鲁克泽. 抑制HSP90的吲唑衍生物、含有所述衍生物的组合物及其用途[P]. 法国：CN102439003A,2012-05-02.

[368]斯图尔特.伊曼纽尔,琳达.恩格尔,雷.坎普豪森,马丁.C.赖特,金格.C.拉克斯特劳,马科.戈塔蒂斯,琼.卡博尼. 双特异性EGFR/IGFIR结合分子[P]. 美国：CN102439036A,2012-05-02.

[369]Y·阿塔曼-厄纳尔,C·博利厄,S·比瑟雷特,J-P·沙里耶,G·肖凯-凯斯狄拉维斯基,D·罗兰. 用于结肠直肠癌体外诊断的防卫素原-A6测定方法[P]. 法国：CN102439042A,2012-05-02.

[370]埃利·华莱士,乔治·托帕洛夫,约瑟夫·雷西卡托斯,亚历山大·巴克梅尔特,赵千. 作为受体酪氨酸激酶抑制剂的喹唑啉类似物[P]. 美国：CN102432552A,2012-05-02.

[371]G·R·古卡拉吉,S·卡斯娜,R·R·古卡拉吉,V·K·R·R·古卡拉吉,V·索门帕利,T·吉拉考提,K·布湖帕瑟拉吉,K·森古卜他,V·K·R·阿鲁瑞. 抗癌药物及将其用于治疗恶性黑色素瘤及其它癌症[P]. 待定：CN102438449A,2012-05-02.

[372]S.P.瓦瑟. 新颖的毛头鬼伞和黄金银耳蘑菇菌株及其产物和提取物以及包含它们的组合物[P]. 以色列：CN102438632A,2012-05-02.

[373]J·B·泽尔迪斯. 用于治疗和控制多发性骨髓瘤的方法及组合物[P]. 美国：CN102429908A,2012-05-02.

[374]维吉妮·克莱门特,伊万·拉多万诺维奇. 癌症起始细胞的线粒体活性抑制剂及其用途[P]. 瑞士：CN102439453A,2012-05-02.

[375]劳斯特姆·F·伊斯马吉洛夫,杜文斌,李亮,沈峰,K·P·F·尼科尔斯,陈德来,J·E·克罗茨. 滑动式芯片装置和方法[P]. 美国：CN102439717A,2012-05-02.

[376]史蒂文·侯,陈冠良,安德烈·朔,肖尔·鲁维尼. 多潜能和多能细胞在微载体上的培养[P]. 新加坡：CN102428172A,2012-04-25.

[377]柳珍山,李元燮,金圣祐,沈相烈. 新型双重靶定抗体及其用途[P]. 韩国：CN102428104A,2012-04-25.

[378]S.N.霍赫瓦尔德,D.A.奥斯特罗夫,W.G.坎斯,E.库伦诺瓦. 激酶蛋白结合抑制剂[P]. 美国：CN102427814A,2012-04-25.

[379]P·N·阿布拉汉姆,W·斯皮瓦克,H·邱,H·朱. 抑制Raf激酶的吡咯并[2,3-b]吡啶衍生物[P]. 美国：CN102421776A,2012-04-18.

[380]包海鹰,贾力耕. 药用层孔菌中三种单体化合物的抗肿瘤活性及其在医药中的应用[P]. 吉林：CN102416017A,2012-04-18.

[381]C.B.武,R.L.卡索邦. 作为沉默调节蛋白调节剂的8-取代的喹啉及相关的类似物[P]. 美国：CN102414180A,2012-04-11.

[382]D·多施,M·乌舍尔-普利特凯尔,T·J·J·穆勒,E·莫库尔. 3-([1,2,3]三唑-4-基)吡咯并[2,3-b]吡啶衍生物[P]. 德国：CN102414211A,2012-04-11.

[383]H.诺特金,H-W.克雷尔,S.米勒,J.尼沃纳,D.庞赛尔,E.托克索兹. 针对人CCN1的抗体及其用途[P]. 瑞士：CN102414219A,2012-04-11.

[384]G·M·克桑德尔,E·梅莱迪特,L·G·莫洛维奇,J·巴比隆,F·菲鲁兹尼亚,胡琦颖. 抑制醛甾酮合酶和芳香酶的稠合咪唑并衍生物[P]. 瑞士：CN102408429A,2012-04-11.

[385]曾宪荣,王浩,王树涛,苏珩,卡尤斯·G·拉杜,约翰内斯·切尔宁. 用于制备尺寸可控的纳米颗粒的超分子方法[P]. 美国：CN102414116A,2012-04-11.

[386]卡尔·博雷贝克,约翰·弗兰松. 抗KU70内化的抗体[P]. 瑞典：CN102406944A,2012-04-11.

[387]M·埃尔-阿尔菲,F·拉布里,L·伯格. 单独的性甾体前体或与选择性雌激素受体调节剂联合用于防治绝经后女性的阴道疾病和病症[P]. 加拿大：CN102406650A,2012-04-11.

[388]M·莎玛,A·莎赫. 人源化抗CD19抗体制剂[P]. 美国：CN102413839A,2012-04-11.

[389]王建. 基于核酸内切酶消化的甲基化DNA检测方法[P]. 上海：CN102399861A,2012-04-04.

[390]杨玲,刘雯,左伋,刘晓宇,李洪岩. 一组下调Mortalin/HSPA9/Grp75表达的siRNA分子及其应用[P]. 上海：CN102399778A,2012-04-04.

[391]梶原淳志. 核酸扩增反应装置和方法及用于核酸扩增反应装置的基板[P]. 日本：CN102399677A,2012-04-04.

[392]P.Y.陈,J.高尔丁. 结晶型的N-{(1S)-2-氨基-1-[(3-氟苯基)甲基]乙基}-5-氯-4-(4-氯-1-甲基-1H-吡唑-5-基)-2-噻吩甲酰胺盐酸盐[P]. 美国：CN102405047A,2012-04-04.

[393]黄炳镠,郭瑞仪. 一种制备高温稳定的包含氧载体的药物组合物的方法及其应用[P]. 美国：CN102405051A,2012-04-04.

[394]蒋晟,李上,姚毅武,张峰,晁阳,叶海,陈敏. 组蛋白去乙酰化酶抑制剂及其合成方法和制药用途[P]. 江苏：CN102391359A,2012-03-28.

[395]桑尼·亚伯拉罕,晁琪,迈克尔·J·哈德,马克·W·霍拉迪,刚·刘,爱德华多·塞缇. 调控JAK激酶的喹唑啉衍生物和其使用方法[P]. 美国：CN102395576A,2012-03-28.

[396]板野弘,广濑正明,仓泽秋,史蒂文·P·兰斯顿,水谷广节,石展,伊拉切·比谢尔斯,特里西娅·J·沃斯,斯捷潘·维斯科奇尔. 杂芳基化合物和其作为PI3K抑制剂的用途[P]. 美国：CN102395585A,2012-03-28.

[397]曹宗铉,史蒂文·J·科茨,雷蒙德·F·斯基纳齐,张洪旺,周龙虎. 用于治疗癌症和病毒感染的嘌呤核苷单磷酸酯前药[P]. 美国：CN102395590A,2012-03-28.

[398]塔帕斯·达斯古普塔,克雷格·贝蒂. 铜氧还蛋白衍生肽的修饰及其使用方法[P]. 美国：CN102395599A,2012-03-28.

[399]曹胜利,许兴智,廖蓟,韩莹,王瑶,赵保丽. 2,4-二氨基喹唑啉的哌嗪二硫代甲酸酯衍生物及其制备方法和抗肿瘤用途[P]. 北京：CN102391191A,2012-03-28.

[400]埃里克·J·弗纳,马丁·森齐克,奇特拉·鲍什考兰,约瑟夫·J·巴格杰,詹姆士·鲁宾逊. 作为治疗剂的异羟肟酸酯[P]. 美国：CN102391222A,2012-03-28.

[401]刘德洲. 一种抗癌剂的提取方法[P]. 江苏：CN102389534A,2012-03-28.

[402]丁侃,张佩琢,李捷,东楠,沈孝坤. 人miR-145反义核酸及其应用[P]. 上海：CN102382824A,2012-03-21.

[403]马兴元,姚碧,郑文云,刘琨. 一种疫苗黏膜免疫佐剂分子的制备方法[P]. 上海：CN102382853A,2012-03-21.

[404]希莱蒂塔亚·森古普塔,阿贝海曼尤·帕拉斯凯尔,希瓦尼·索尼,苏迪普塔·巴苏,波洛米·森古普塔. 纳米级铂化合物及其使用方法[P]. 美国：CN102388073A,2012-03-21.

[405]肖志艳,叶菲,郭宗儒,田金英,刘军政,张书恩,聂菲璘,陶荣亚,张晓琳,刘峻玚,贺伊博,马轶鸣. 苯氧乙酸类化合物及其制法和药物用途[P]. 北京：CN102382036A,2012-03-21.

[406]肖志艳,叶菲,郭宗儒,田金英,刘军政,张书恩,聂菲璘,陶荣亚,张晓琳,刘峻玚,贺伊博,马轶鸣. 苯丙酸类化合物及其制法和药物用途[P]. 北京：CN102382037A,2012-03-21.

[407]肖志艳,叶菲,汤雁波,田金英,郭宗儒,陈正,张晓琳,贺伊博,马轶鸣,陈玲,韩静. 芳酮和芳酰胺类化合物及其制法和药物用途[P]. 北京：CN102382076A,2012-03-21.

[408]李波,曾步兵,朱维良,陈凯先. 芳甲胺类衍生物及其药物组合物、制备方法和用途[P]. 上海：CN102382097A,2012-03-21.

[409]玛丽·G·彼彻姆斯,罗伯特·希尔格拉夫,莫希特·阿塔尔·柯塔尔,路易丝·米歇尔·卡梅伦,马诺哈尔·T·塞恩丹,珍·徐. 包含用于治疗疾病或紊乱的化合物的固体形式,其组合物,及其用途[P]. 美国：CN102382113A,2012-03-21.

[410]朱毅敏,董兵. 肺癌细胞特异靶向多肽、其制备方法及应用[P]. 江苏：CN102382175A,2012-03-21.

[411]C·奥尔曼,J·S·迪施,P·Y·恩格,R·B·珀尼. 噻唑并吡啶沉默调节蛋白调节剂的化合物[P]. 美国：CN102388054A,2012-03-21.

[412]高荣禧. 癌症治疗用组合物和方法[P]. 美国：CN102387801A,2012-03-21.

[413]J·B·泽尔迪斯. 使用3-(4-氨基-1-氧代-1,3-二氢-异吲哚-2-基)-哌啶-2,6-二酮用于治疗和控制多发性骨髓瘤的方法及组合物[P]. 美国：CN102379874A,2012-03-21.

[414]A·马达布什,A·巴萨万哈利,S·加内桑. 基于图像的风险分数-来自数字组织病理学的存活率和结果的预后预估[P]. 美国：CN102388305A,2012-03-21.

[415]洪龙,魏桐,徐唯涛,高远,顾红雅,瞿礼嘉. 一种玉米心叶特异性启动子及其应用[P]. 北京：CN102373201A,2012-03-14.

[416]黄振华. 咪唑并二氮杂萘类PI3K和mTOR双重抑制剂[P]. 山东：CN102372712A,2012-03-14.

[417]比吉特·博森梅尔,乌尔里希·布林克曼,维尔马·劳,埃克·霍夫曼,克里斯蒂安·克莱因,格哈德·尼德费尔纳,于尔根·迈克尔·尚策,扬·奥拉夫·斯特拉克,克劳迪奥·祖斯特曼,巴勃罗·乌马纳. 双特异性抗-ErbB-3/抗-c-Met抗体[P]. 瑞士：CN102378768A,2012-03-14.

[418]郭良然,蒋新国,范丽. 一种包载抗肿瘤药物组合物的注射用脂质体[P]. 上海：CN102370987A,2012-03-14.

[419]S·C·珀蒂,M·A·费尔南德斯-桑托斯,N·黄. 含有蛋白质组合的细胞培养基[P]. 美国：CN102369276A,2012-03-07.

[420]和田洋巳,黃政龙. 靶向胸苷酸合酶的RNAi分子及其应用[P]. 日本：CN102369283A,2012-03-07.

[421]阿明·卡恩·M,保罗·L·伍德,达扬·古德诺,里希凯什·曼基迪,皮尔逊·阿希亚霍努. 缩醛磷脂化合物、包含缩醛磷脂化合物的药物组合物和用于治疗衰老性疾病的方法[P]. 加拿大：CN102369193A,2012-03-07.

[422]蔡丽玲,谭国伟,杨海燕,于强,阮遵明. 3-脱氮瓶菌素衍生物[P]. 新加坡：CN102369204A,2012-03-07.

[423]克里斯蒂·埃尔金斯,安德鲁·保尔森,艾伦·埃本斯,卡梅利娅·亚当斯,郑冰,杰加斯·R·尤努图拉,乔安妮·洪格,吴岩. 抗-FcRH5抗体和免疫缀合物以及应用方法[P]. 瑞士：CN102369218A,2012-03-07.

[424]马兴元,朱玲,石磊,唐莉莉,郑文云,莫剑. 一种抗肿瘤蛋白质药物的质量稳定工艺[P]. 上海：CN102366628A,2012-03-07.

[425]金一韩. 含有作为活性成分的谷氧还蛋白3的肺癌和结肠直肠癌诊断标记物以及使用所述标记物诊断肺癌和结肠直肠癌的试剂盒[P]. 韩国：CN102369442A,2012-03-07.

[426]秦勇,宋颢,王霞,林勇,孔晨,王雨,王琼,张林. 一种化合物及其制备方法和应用[P]. 四川：CN102363622A,2012-02-29.

[427]李为,N·E·菲斯金,R·Y·赵,M·L·米勒,R·V·J·沙里. 新型苯并二氮杂*衍生物[P]. 美国：CN102365021A,2012-02-29.

[428]J·阿龙索,A·恩西纳斯洛佩斯,M·穆尔拜尔,J·阿门,B·温特,J·路维斯,C·舒尔特斯,B·延森. 甲苯胺磺酰胺及其用途[P]. 德国：CN102361853A,2012-02-22.

[429]C.查奎,J.科斯罗,J.多林,关冰,M.霍曼,A.伊什钱科,J.H.琼斯,L.卡比格廷,G.库马拉韦尔,彭海若,N.鲍威尔,B.雷芒多,田中弘子,K.范夫洛滕,J.维塞尔斯,辛智利. 用作Raf激酶抑制剂的杂芳基化合物[P]. 美国：CN102361859A,2012-02-22.

[430]比吉特·博森梅尔,乌尔里希·布林克曼,克里斯蒂安·克莱因,格哈德·尼德费尔纳,沃尔夫冈·谢弗,于尔根·迈克尔·尚策,克劳迪奥·祖斯特曼,巴勃罗·乌马纳. 双特异性抗-ErbB-1/抗-c-Met抗体[P]. 瑞士：CN102361883A,2012-02-22.

[431]比吉特·博森梅尔,乌尔里希·布林克曼,克里斯蒂安·克莱因,格哈德·尼德费尔纳,沃尔夫冈·谢弗,于尔根·迈克尔·尚策,克劳迪奥·祖斯特曼,巴勃罗·乌马纳. 双特异性抗-ErbB-2/抗-c-Met抗体[P]. 瑞士：CN102361884A,2012-02-22.

[432]约翰·A·泽贝拉,迪安·Y·密达,约耳·R·摩根,斯图亚特·J·卡恩. 包含外消旋氨基蝶呤的药物组合物[P]. 美国：CN102361558A,2012-02-22.

[433]H·迭戈那,M·科尔,M·科勒,T·克尔,K·温伯格. 复杂疾病的体外诊断方法[P]. 奥地利：CN102362279A,2012-02-22.

[434]鱼户浩一,杉本雄一,内藤博之,宫崎理树,吉田佳右,青沼正志. 具有脯氨酸环结构的咪唑并噻唑衍生物[P]. 日本：CN102356085A,2012-02-15.

[435]傅磊,刘井宝,姜发琴,蒋玺臻,刘晶晶,刘文陆. 苯并呋喃类化合物及其制备方法、用途[P]. 上海：CN102351852A,2012-02-15.

[436]邓金平,邓金香,英勇来,邓金荣,白利民,英魁,杨万英. 工业化生产防癌抗癌绿色微型食品[P]. 河北：CN102342313A,2012-02-08.

[437]J·B·泽尔迪斯. 用于治疗和控制实体瘤的方法及组合物[P]. 美国：CN102342938A,2012-02-08.

[438]马克·G·柯里. 治疗胃肠道病症的方法和组合物[P]. 美国：CN102342953A,2012-02-08.

[439]周良学,吴扬,郭刚,仝爱平,魏于全,陈曦. 治疗或预防肿瘤的药物、肿瘤全细胞疫苗及其制备方法和用途[P]. 四川：CN102343086A,2012-02-08.

[440]N·P·德赛,A·杨,S·X·司,T·德,V·德留,P·宋祥,B·比尔斯·格里姆,姚强. 组合物和传递药剂的方法[P]. 美国：CN102343094A,2012-02-08.

[441]弗雷德里克·坎曼,加里·布莱特,古斯塔夫·安吉尔博格,詹姆士·林顿,曼弗雷德·科勒. 细胞的遗传学分析[P]. 美国：CN102341505A,2012-02-01.

[442]筱塚刚,塚田智晴,藤井邦彦,森诚. 吡啶衍生物[P]. 日本：CN102341386A,2012-02-01.

[443]T·里特,L·布拉斯,C·凯思,A·沃森,D·J·格林布拉特. 含氟化合物及其使用方法[P]. 美国：CN102341390A,2012-02-01.

[444]李湘. 一种三氟甲基取代的哒嗪衍生物激酶抑制剂及其用途[P]. 美国：CN102336715A,2012-02-01.

[445]E·G·姆西维尔,J·霍夫. 用作激酶抑制剂的吡咯并嘧啶化合物[P]. 英国：CN102341400A,2012-02-01.

[446]J·B·泽尔迪斯. 使用3-(4-氨基-1-氧代-1,3-二氢-异吲哚-2-基)-哌啶-2,6-二酮用于治疗和控制淀粉样病变的方法及组合物[P]. 美国：CN102335173A,2012-02-01.

[447]蔡雄,翟海啸,赖正荣,钱长庚. 具有锌结合半族的磷酸肌醇3-激酶抑制剂[P]. 美国：CN102341108A,2012-02-01.

[448]李琦,范忠泽,周利红,王炎,慈书俊,李克桑,秦建民,陈星竹. 一种含HIPK2基因的重组质粒用于制备抗肿瘤药物的用途[P]. 上海：CN102335438A,2012-02-01.

[449]R·阿哈龙,N·罗森菲尔德,S·罗森瓦尔德. 用于肿瘤样本起源组织分类的基因表达签名[P]. 美国：CN102333888A,2012-01-25.

[450]朱炳炎,P·戈德史密施,T·贝利斯,A·福克斯,N·佩格,S·多,R·戈德史密斯,T·赫夫龙,A·科勒斯尼科夫,S·斯塔本,A·G·埃罗,M·肖,D·P·苏特林. 苯并吡喃和苯并氧杂*PI3K抑制剂化合物和使用方法[P]. 美国：CN102333779A,2012-01-25.

[451]徐文方,边海勇,吴敬德,王学健,冯金红. 多靶点型他米巴罗汀衍生物、其制备方法和用途[P]. 山东：CN102329246A,2012-01-25.

[452]C·J·斯夸尔,J·德马泰,R·J·罗伯茨,庄宗勳,G·夏尔马-辛格,M·佩尔韦兹,J·G·福特,R·A·斯托里,P·A·迪金森. 硫酸氢盐[P]. 美国：CN102329270A,2012-01-25.

[453]赵维莅,施文瑜,肖丹,王黎. 二甲双胍在制备治疗淋巴瘤疾病药物中的应用[P]. 上海：CN102327256A,2012-01-25.

[454]A·L·马洛,E·华莱士,徐廷法,J·P·利西卡图斯,杨鸿云,J·布莱克,R·A·斯托里,R·J·布思,J·D·皮泰姆,J·伦纳德,M·R·菲尔丁. MEK的杂环抑制剂及其使用方法[P]. 美国：CN102321030A,2012-01-18.

[455]张焱,苏志国,罗坚,马光辉. 一种从乳腺生物反应器表达产物中分离重组人抗体的方法[P]. 北京：CN102321150A,2012-01-18.

[456]张伟,王小兵,李艳芬,田海梅,李茉,程冬婉,刘朝阳. 人源化巨噬细胞抑制因子1单克隆抗体及其应用[P]. 北京：CN102321173A,2012-01-18.

[457]刘波,刘存莲,武靖. 一种新的促性腺激素释放激素导向融合蛋白突变体[P]. 北京：CN102321178A,2012-01-18.

[458]A.V.普兰达尔,D.G.巴特,刘庆杰,W.L.约翰逊,H.马斯塔勒兹,张桂芬,K.齐默尔曼. 咔唑和咔啉激酶抑制剂[P]. 美国：CN102325752A,2012-01-18.

[459]K·M·富特,J·W·M·尼辛克. 用于治疗癌症的嘧啶吲哚衍生物[P]. 瑞典：CN102325764A,2012-01-18.

[460]D·阿尔贝拉蒂,M·科纳尔,B·库恩,J-U·彼得斯,R·M·罗德里格斯萨尔米恩托,M·罗格斯-艾温斯,M·鲁道夫. 杂芳基取代的哒嗪酮衍生物[P]. 瑞士：CN102325766A,2012-01-18.
